"No.","Time","Source","Destination","Protocol","Length","Info"
"80023","252.669713000","fe80::cd2e:64b0:dee5:e8b8","ff02::1:3","LLMNR","84","Standard query 0xf037  A wpad"
"80024","252.669715000","140.138.148.101","224.0.0.252","LLMNR","64","Standard query 0xf037  A wpad"
"80045","252.769814000","fe80::cd2e:64b0:dee5:e8b8","ff02::1:3","LLMNR","84","Standard query 0xf037  A wpad"
"80046","252.769815000","140.138.148.101","224.0.0.252","LLMNR","64","Standard query 0xf037  A wpad"
"80159","253.505742000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0xdee5  A wpad"
"80160","253.505744000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0xdee5  A wpad"
"80173","253.589129000","fe80::c086:9801:1327:6b14","ff02::1:3","LLMNR","92","Standard query 0xe773  A STAFFMAILDB3"
"80174","253.589130000","140.138.148.15","224.0.0.252","LLMNR","72","Standard query 0xe773  A STAFFMAILDB3"
"80177","253.603825000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0xdee5  A wpad"
"80178","253.603826000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0xdee5  A wpad"
"80184","253.625090000","140.138.148.138","140.138.2.109","DNS","103","Standard query 0xe06d  A bsasc29msf32hqjxbyj66n20g53fqg13a37dqhu.com"
"80195","253.683853000","140.138.2.109","140.138.148.138","DNS","176","Standard query response 0xe06d No such name"
"80196","253.688838000","fe80::c086:9801:1327:6b14","ff02::1:3","LLMNR","92","Standard query 0xe773  A STAFFMAILDB3"
"80197","253.688839000","140.138.148.15","224.0.0.252","LLMNR","72","Standard query 0xe773  A STAFFMAILDB3"
"80286","254.200407000","140.138.148.3","224.0.0.252","LLMNR","64","Standard query 0x2dfc  A wpad"
"80297","254.298248000","140.138.148.3","224.0.0.252","LLMNR","64","Standard query 0x2dfc  A wpad"
"80481","255.189513000","140.138.148.138","140.138.2.109","DNS","101","Standard query 0xfcb5  A gxfskscsgqh44jqp62n10hwf52jtb28hxaxfy.net"
"80508","255.246714000","140.138.2.109","140.138.148.138","DNS","174","Standard query response 0xfcb5 No such name"
"80789","256.081989000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0x26b7  A wpad"
"80790","256.081991000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0x26b7  A wpad"
"80820","256.182172000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0x26b7  A wpad"
"80821","256.182174000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0x26b7  A wpad"
"80899","256.750089000","140.138.148.138","140.138.2.109","DNS","104","Standard query 0x7e76  A bylqhvhwayf22i15bxh64ntk37f22jue61b58j46.org"
"80928","257.095169000","fe80::b5e6:ab10:6bd3:492","ff02::1:3","LLMNR","89","Standard query 0x505d  A NPIC93AE3"
"80929","257.095171000","140.138.149.76","224.0.0.252","LLMNR","69","Standard query 0x505d  A NPIC93AE3"
"80931","257.098094000","fe80::b5e6:ab10:6bd3:492","ff02::1:3","LLMNR","89","Standard query 0xf923  AAAA NPIC93AE3"
